               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096852,            0.012539,            0.057858,          0.00068934,             0.21875,          0.00077755,          0.00019635,             0.08362,            0.011591,            0.056874,             0.00123,             0.00123,             0.08893
                   1,            0.089891,            0.013869,            0.056357,             0.38524,             0.03125,            0.014402,           0.0039295,            0.073978,            0.012626,            0.056492,             0.00247,             0.00247,             0.07777
                   2,            0.076815,            0.014152,            0.056015,             0.01091,             0.21875,            0.014155,           0.0028858,            0.087633,            0.012423,            0.057292,             0.00371,             0.00371,             0.06661
                   3,            0.063481,            0.012716,             0.05545,             0.44835,             0.47534,             0.24168,             0.10967,            0.044574,            0.010631,            0.054356,           0.0049499,           0.0049499,             0.05545
                   4,             0.05938,            0.011509,            0.054811,             0.73635,              0.2811,             0.16522,            0.062152,             0.07355,            0.028593,            0.056132,           0.0061898,           0.0061898,             0.04429
                   5,            0.054573,             0.01097,            0.053394,             0.42615,              0.5625,             0.27662,             0.14662,            0.042553,           0.0091099,            0.052369,           0.0074296,           0.0074296,             0.03313
                   6,            0.051578,           0.0098208,            0.050643,             0.34188,             0.67796,             0.39954,             0.16333,             0.04665,           0.0079999,            0.046999,           0.0086693,           0.0086693,            0.021969
                   7,             0.04889,           0.0089569,            0.048165,             0.35127,             0.52083,              0.3004,             0.11927,            0.053881,           0.0080218,            0.045484,           0.0099089,           0.0099089,            0.010809
                   8,            0.046134,           0.0082475,             0.04463,             0.21643,             0.66667,             0.36847,             0.12921,            0.055566,            0.010852,            0.050264,           0.0099986,           0.0099986,           0.0099986
                   9,            0.043636,           0.0075866,            0.040643,             0.39647,              0.9888,              0.7101,             0.33131,            0.044008,           0.0057405,            0.037212,           0.0099986,           0.0099986,           0.0099986
